t   links   init                                
c   fr  to  len mode    type    lanes   vdfunc  ul1 ul2 ul3
a   101268  101262  0.14    a   443 2   52  424 1740    443
a   101269  101263  0.06    a   443 1   52  425 870 443
a   101269  101267  0.04    a   443 1   52  426 870 443
a   101272  101275  0.14    a   343 2   52  427 1740    343
a   101272  101293  0.44    a   343 2   52  428 1740    343
a   101274  101173  0.12    a   343 2   52  429 1740    343
a   101274  101285  0.2 a   343 2   52  430 1740    343
a   101274  500014  0.2 a   900 5   13  431 10000   900
a   101275  101104  0.36    a   343 2   52  432 1740    343
a   101275  101172  0.18    a   443 2   52  433 1740    443
a   101275  101272  0.14    a   343 2   52  434 1740    343
a   101282  101283  0.08    a   343 2   52  435 1740    343
a   101282  101285  0.23    a   443 1   52  436 870 443
a   101282  101293  0.36    a   343 1   52  437 870 343
a   101282  101305  0.3 a   443 1   52  438 870 443
a   101283  101282  0.08    a   343 2   52  439 1740    343
a   101283  101284  0.08    a   343 2   52  440 1740    343
a   101283  101304  0.3 a   343 2   52  441 1740    343
a   101283  101312  0.3 a   343 2   52  442 1740    343
a   101284  101283  0.08    a   343 2   52  443 1740    343
a   101284  101285  0.19    a   343 2   52  444 1740    343
a   101284  101357  0.14    a   443 2   52  445 1740    443
a   101285  101274  0.2 a   343 2   52  446 1740    343
a   101285  101284  0.19    a   343 2   52  447 1740    343
a   101285  500021  0.42    a   900 5   12  448 10000   900
a   101292  100320  0.22    a   900 1   12  449 2000    900
a   101292  101236  0.2 a   343 2   52  450 1740    343
a   101292  101294  0.21    a   343 2   52  451 1740    343
a   101292  101305  0.35    a   443 1   52  452 870 443
a   101293  101254  0.25    a   343 1   52  453 870 343
a   101293  101272  0.44    a   343 2   52  454 1740    343
a   101293  101282  0.36    a   343 1   52  455 870 343
a   101293  101294  0.08    a   343 2   52  456 1740    343
a   101294  101292  0.21    a   343 2   52  457 1740    343
a   101294  101293  0.08    a   343 2   52  458 1740    343
a   101302  101233  0.38    a   113 2   51  459 2000    113
a   101302  101303  0.14    a   243 2   51  460 2000    243
a   101302  101322  0.35    a   113 2   50  461 2300    113
a   101303  101302  0.14    a   243 2   51  462 2000    243
a   101303  101304  0.28    a   343 2   52  463 1740    343
a   101303  101312  0.63    a   243 2   51  464 2000    243
a   101303  101323  0.25    a   442 1   51  465 1000    442
a   101304  101283  0.3 a   343 2   52  466 1740    343
a   101304  101303  0.28    a   343 2   52  467 1740    343
a   101304  101305  0.08    a   443 1   52  468 870 443
a   101304  500017  0.22    a   900 5   12  469 10000   900
a   101305  101282  0.3 a   443 1   52  470 870 443
a   101305  101292  0.35    a   443 1   52  471 870 443
a   101305  101304  0.08    a   443 1   52  472 870 443
a   101305  500015  0.22    a   900 5   12  473 10000   900
a   101312  101283  0.3 a   343 2   52  474 1740    343
