t links init
c   fr       to      len  mode  type lanes vdfunc ul1 ul2 ul3 
a 712009 620093   0.20 c            900 1.0  95       0       0       0
a 712010 620103   3.12 cg           900 1.0  95       0       0       0
a 712011 620112   0.75 cg           900 1.0  95       0       0       0
a 712012 620049   0.20 c            900 1.0  95       0       0       0
a 712013 620124   0.50 cg           900 1.0  95       0       0       0
a 712014 620142   0.40 cg           900 1.0  95       0       0       0
a 712015 620144   0.80 c            900 1.0  95       0       0       0
a 712016 620125   6.64 cbg          900 1.0  95       0       0       0
a 712017 620146  11.07 cg           900 1.0  95       0       0       0
a 712018 620146  10.00 cg           900 1.0  95       0       0       0
a 712019 620029   1.50 c            900 1.0  95       0       0       0
a 712019 620123   1.00 c            900 1.0  95       0       0       0
a 712020 620067  10.70 cg           900 1.0  95       0       0       0
a 712021 620124   1.31 cg           900 1.0  95       0       0       0
a 712022 620013   0.57 cg           900 1.0  95       0       0       0
a 712023 620022   0.47 cg           900 1.0  95       0       0       0
a 712024 620012   0.46 cg           900 1.0  95       0       0       0
a 712025 620023   0.52 cg           900 1.0  95       0       0       0
a 712026 620024   0.81 cg           900 1.0  95       0       0       0
a 712027 620024   1.03 cg           900 1.0  95       0       0       0
a 712028 620082   0.43 cg           900 1.0  95       0       0       0
a 712029 620042   0.74 cg           900 1.0  95       0       0       0
a 712030 620062   4.09 cg           900 1.0  95       0       0       0
a 712031 620072   1.41 c            900 1.0  95       0       0       0
a 712301 623012   0.40 cg           900 1.0  95       0       0       0
a 712301 623032   0.40 cg           900 1.0  95       0       0       0
a 712302 623012   0.70 cg           900 1.0  95       0       0       0
a 712303 623032   0.28 c            900 1.0  95       0       0       0
a 712303 623035   0.83 cg           900 1.0  95       0       0       0
a 712304 623035   0.42 cg           900 1.0  95       0       0       0
a 712305 623014   0.70 cg           900 1.0  95       0       0       0
a 712305 623054   0.70 cg           900 1.0  95       0       0       0
a 712306 623062   0.48 c            900 1.0  95       0       0       0
a 712307 623079   0.76 c            900 1.0  95       0       0       0
a 712308 623072   0.30 cg           900 1.0  95       0       0       0
a 712309 623093   0.40 c            900 1.0  95       0       0       0
a 712310 623104   0.30 cg           900 1.0  95       0       0       0
a 712311 623112   0.30 c            900 1.0  95       0       0       0
a 712311 623116   0.40 c            900 1.0  95       0       0       0
a 712312 623113   0.30 cg           900 1.0  95       0       0       0
a 712313 623133   0.50 cg           900 1.0  95       0       0       0
a 712314 623024   0.80 cg           900 1.0  95       0       0       0
a 712314 623145   0.80 c            900 1.0  95       0       0       0
a 712315 623156   0.40 cg           900 1.0  95       0       0       0
a 712316 623114   1.08 c            900 1.0  95       0       0       0
a 712317 623116   0.90 c            900 1.0  95       0       0       0
a 712317 623194   0.90 c            900 1.0  95       0       0       0
a 712318 623116   0.70 c            900 1.0  95       0       0       0
a 712318 623194   0.90 c            900 1.0  95       0       0       0
a 712319 623145   0.40 c            900 1.0  95       0       0       0
a 712319 623194   0.20 cg           900 1.0  95       0       0       0
a 712320 623243   0.30 cg           900 1.0  95       0       0       0
a 712321 623212   0.50 cg           900 1.0  95       0       0       0
a 712322 623223   1.80 c            900 1.0  95       0       0       0
a 712323 623202   0.60 cg           900 1.0  95       0       0       0
a 712324 623246   0.93 c            900 1.0  95       0       0       0
a 712325 623242   0.50 cg           900 1.0  95       0       0       0
a 712326 623242   0.70 c            900 1.0  95       0       0       0
a 712327 623223   0.58 c            900 1.0  95       0       0       0
a 712327 623235   0.50 c            900 1.0  95       0       0       0
a 712328 623226   0.58 cg           900 1.0  95       0       0       0
a 712329 623153   1.05 c            900 1.0  95       0       0       0
a 712330 623103   1.05 cg           900 1.0  95       0       0       0
a 712331 623033   0.34 cg           900 1.0  95       0       0       0
a 712331 623053   1.24 c            900 1.0  95       0       0       0
a 712332 623044   0.63 cg           900 1.0  95       0       0       0
a 712333 623042   0.45 cg           900 1.0  95       0       0       0
a 712334 623037   0.19 cg           900 1.0  95       0       0       0
a 712334 623046   0.60 c            900 1.0  95       0       0       0
a 712335 623074   0.21 cg           900 1.0  95       0       0       0
a 712336 623075   0.23 cg           900 1.0  95       0       0       0
a 712501 625019   0.30 cg           900 1.0  95       0       0       0
a 712502 625025   1.50 cg           900 1.0  95       0       0       0
a 712503 625032   0.50 cg           900 1.0  95       0       0       0
a 712504 625049   0.56 cg           900 1.0  95       0       0       0
a 712505 625053   1.00 c            900 1.0  95       0       0       0
a 712506 625062   1.50 cg           900 1.0  95       0       0       0
a 712507 625063   1.50 cg           900 1.0  95       0       0       0
a 712508 625082   2.50 cg           900 1.0  95       0       0       0
a 712509 625123   2.50 cg           900 1.0  95       0       0       0
a 712510 625102   0.50 cg           900 1.0  95       0       0       0
a 712512 625123   1.20 cg           900 1.0  95       0       0       0
a 712513 625136   0.70 cg           900 1.0  95       0       0       0
a 712514 625048   0.57 cg           900 1.0  95       0       0       0
a 712515 625048   0.76 cg           900 1.0  95       0       0       0
